"","zz","hs","calcs","calcs.1"
"2005-02-24",1024.45,1045.46,1.06335716191058,-0.000918220370540021
"2005-02-25",1024.12,1046.76,1.05515857966261,-0.00116921133935537
"2005-02-28",1020.85,1039.99,1.05288889446512,-0.00107647944297619
"2005-03-01",1021.16,1035.93,1.04889869082764,-0.000994708854221324
"2005-03-02",1006.15,1021.32,1.04765714915264,-0.000929510412228671
"2005-03-03",1011.29,1027.71,1.04744561724596,-0.000929179090405258
"2005-03-04",1003.21,1023.67,1.04975777379498,-0.00108349549993302
"2005-03-07",1006.95,1029.87,1.04951889681052,-0.00131337507654754
"2005-03-08",1029.46,1048.99,1.05529722434216,-0.00110620984423862
"2005-03-09",1032.55,1046.54,1.05301451208412,-0.000905343747983048
"2005-03-10",1005.55,1022.41,1.05064677680032,-0.00117490448718951
"2005-03-11",1009.43,1027.43,1.0558741382817,-0.00132401909454202
"2005-03-14",1007.77,1031.03,1.05408177395781,-0.00143052055107149
"2005-03-15",993.83,1013.52,1.08180476116,-0.000909014781402799
"2005-03-16",983.92,1003.07,1.07022123895773,-0.000959395624804942
"2005-03-17",970.97,992.86,1.0718100183172,-0.000762096774602098
"2005-03-18",949.51,978.67,1.08111334744769,-0.000880320296922846
"2005-03-21",949.55,981.89,1.08182398470888,-0.000994978180537655
"2005-03-22",922.56,964.02,1.09178106567117,-0.000835457965101038
"2005-03-23",923.19,959.01,1.05549563800874,-0.000110674442372309
"2005-03-24",933.35,964.8,1.06039349010889,0.000417817120708513
"2005-03-25",931.42,962.96,1.07638347019213,0.00046518966992024
"2005-03-28",922.92,960.7,1.06148636950259,0.000396250142667242
"2005-03-29",916.81,955.19,1.12379836986625,0.000757416884935321
"2005-03-30",888.95,937.03,1.16143972301327,0.000455452514462267
"2005-03-31",896.07,942.2,1.16467251052074,0.000235894255178706
"2005-04-01",927.55,978.15,1.10050302914199,-0.000256228241904433
"2005-04-04",909.87,962.17,1.11839535751382,-0.00013119598354392
"2005-04-05",901.74,955.6,1.10059924405862,-0.000338153190546713
"2005-04-06",918.56,973.67,1.09389361892509,-0.000906006675799931
"2005-04-07",932.33,984.73,1.1001960958077,-0.00092509693655347
"2005-04-08",949.46,1003.45,1.09444401383128,-0.000961065330334141
"2005-04-11",948.51,995.42,1.08829979433807,-0.000840407744670538
"2005-04-12",927.41,978.7,1.09866428460274,-0.00110567744642356
"2005-04-13",950.23,1000.9,1.10599279181341,-0.00113850340102356
"2005-04-14",935.43,986.98,1.10486555764732,-0.00108598776381822
"2005-04-15",913.27,974.08,1.11889777015567,-0.00125098394464607
"2005-04-18",901.12,963.77,1.12151701865819,-0.00119254845241811
"2005-04-19",902.79,965.89,1.11213418199073,-0.00128897842071687
"2005-04-20",884.08,950.87,1.11569989487063,-0.00157894247348638
"2005-04-21",867.33,943.98,1.12761342153672,-0.00189632220227439
"2005-04-22",857.4,939.1,1.12882196793643,-0.00202420644718074
"2005-04-25",841.06,930.07,1.14015687931909,-0.00207316811220476
"2005-04-26",855.24,937.08,1.17911062104921,-0.0018838380916057
"2005-04-27",839.95,926.6,1.18924863968411,-0.00208723404088349
"2005-04-28",860.62,942.07,1.21242448021149,-0.0018552551134717
"2005-04-29",847.61,932.4,1.20714598665104,-0.00179321585703519
"2005-05-09",818.4,909.17,1.21850739083475,-0.00178051131617712
"2005-05-10",818.09,913.08,1.20235173028425,-0.00178716745356064
"2005-05-11",811.57,901.85,1.19237055541229,-0.00181036981509201
"2005-05-12",807.51,885.82,1.14120935398445,-0.00153768657279928
"2005-05-13",814.88,887.54,1.14715474829565,-0.00129541945648486
"2005-05-16",808.17,875.27,1.13256831087687,-0.000870474194472385
"2005-05-17",818.46,881.46,1.14124721661502,-0.00068661891277574
"2005-05-18",824.64,883.2,1.1228797681411,-0.000254625856317852
"2005-05-19",824.94,884.17,1.12004587335121,-0.000349783711866042
"2005-05-20",819.13,882.76,1.18493616720067,-5.48270616379351e-05
"2005-05-23",793.72,863.34,1.20520888381273,-0.000158314184010782
"2005-05-24",808.74,868.46,1.22743576092133,0.000326716589785467
"2005-05-25",809.7,868.45,1.25408790575744,0.000618179079229054
"2005-05-26",799.02,857.33,1.24906699809431,0.000666130226674927
"2005-05-27",791,849.51,1.29004497381406,0.00111481195753678
"2005-05-30",797.53,855.61,1.28979873722885,0.000769227555514022
"2005-05-31",796.87,855.95,1.28228102237739,0.000710857228345704
"2005-06-01",778.67,837.53,1.30997566432321,0.00118129335245109
"2005-06-02",769.42,818.38,1.22764963479291,0.00118771070221186
"2005-06-03",765.97,818.03,1.19948467488126,0.00114865505027623
"2005-06-06",778.21,839,1.08220383567034,0.000144083637413807
"2005-06-07",779.84,837.28,1.08596515820728,0.000323042595791584
"2005-06-08",841.36,905.77,1.00435128236244,2.15571707689654e-06
"2005-06-09",849.73,912.6,0.999595586944978,0.000465781992981923
"2005-06-10",831.61,894.56,1.00063432989609,0.000624491940855206
"2005-06-13",834.25,892.96,0.993007172373826,0.00109557350082179
"2005-06-14",818.19,883.54,0.993837478495679,0.000492021618915234
"2005-06-15",796.26,866.83,1.00042718725814,0.000463943890897854
"2005-06-16",803.95,879.24,0.981119802699891,4.17016219722502e-06
"2005-06-17",800.14,880.35,0.975839717253932,-3.59936635585834e-05
"2005-06-20",823.73,906.26,0.956540505155005,0.000329369734263763
"2005-06-21",816.2,896.17,0.957389926616384,0.000529766347393231
"2005-06-22",818.65,900.65,0.959879584250426,0.000343081200401446
"2005-06-23",809.35,893.57,0.981292829695532,-0.000196272783666579
"2005-06-24",813.2,898.3,0.980332883540112,-0.000451002668374046
"2005-06-27",834.35,916.04,0.998862614239523,-0.00043834396464476
"2005-06-28",819.05,903.72,1.0011839612172,-0.000793128210206989
"2005-06-29",814.06,898.9,1.00052904859262,-0.00100351741176252
"2005-06-30",791.5,878.69,1.00808695248735,-0.0011529147113344
"2005-07-01",760.35,859.49,1.03421504781464,-0.00153158462727353
"2005-07-04",749.48,855.93,1.02515875050408,-0.00159046693103748
"2005-07-05",744.6,849.68,1.01632261116397,-0.001990756593139
"2005-07-06",743.44,842.56,1.01072938149174,-0.00180326367625863
"2005-07-07",747.42,844.73,1.01334470804313,-0.00170254570364185
"2005-07-08",722.85,829.49,1.03171453922772,-0.00215161654032901
"2005-07-11",714.48,824.1,1.03093768323131,-0.00234316681374448
"2005-07-12",739.53,851.82,1.03754426099104,-0.00228957009821324
"2005-07-13",732.44,846.23,1.04074152078506,-0.00236692874484669
"2005-07-14",732.54,849.59,1.06754509970953,-0.00293638476526985
"2005-07-15",714.49,841,1.07689710713762,-0.00327429091029579
"2005-07-18",696.85,833,1.10270921119874,-0.00336725639574649
"2005-07-19",703.07,835.61,1.10620362806728,-0.00333053778377654
"2005-07-20",707.29,842.64,1.2297612507428,-0.00276835659286881
"2005-07-21",704.79,843.99,1.22149651726207,-0.00299509763990226
"2005-07-22",721.45,859.69,1.2543223143676,-0.00301822492481529
"2005-07-25",718.87,856.86,1.25380938494894,-0.00318105127680064
"2005-07-26",735.86,876.48,1.24183518988462,-0.00315139640524974
"2005-07-27",750.02,894.01,1.23375798883828,-0.0032181838950372
"2005-07-28",747.23,890.89,1.24226292174123,-0.00293637949595298
"2005-07-29",744.83,888.16,1.24070764647755,-0.00270569226768155
"2005-08-01",750.49,891.61,1.27066196038087,-0.00236486003501321
"2005-08-02",763.29,903.6,1.2929420022901,-0.00254082447652735
"2005-08-03",769.75,909.57,1.29669241683005,-0.00242962012929027
"2005-08-04",765.26,904.15,1.29334146311041,-0.00232599727033113
"2005-08-05",787.82,923.8,1.30687790454908,-0.00222451750484219
"2005-08-08",800.12,927.47,1.30635254936569,-0.00188354655197092
"2005-08-09",814.19,933.09,1.32079115855458,-0.00155224924383303
"2005-08-10",823.84,940.37,1.32803477870938,-0.00154390847878404
"2005-08-11",832.84,953.99,1.33117692129013,-0.00190129313053127
"2005-08-12",816.39,938.32,1.26550334910414,-0.00129143467037291
"2005-08-15",839.67,954.5,1.2759807295487,-0.000805406505208146
"2005-08-16",839.26,945.06,1.24624864128946,-0.00038670140887137
"2005-08-17",854.53,953.01,1.28032441989666,-0.00056854294632917
"2005-08-18",820.66,920.67,1.25277446397048,-0.000428186085340403
"2005-08-19",820.87,923.04,1.21354301985492,-4.12674815803431e-05
"2005-08-22",831.5,931.67,1.20777750109875,0.000159441354687707
"2005-08-23",816.91,923.41,1.26466064420077,-4.05406202339439e-05
