"","open","high","low","close"
"1990-12-24",113.57,114.55,109.13,114.55
"1990-12-31",126.56,127.61,126.48,127.61
"1991-01-07",131.99,132.06,131.45,132.06
"1991-01-14",134.11,135.19,134.11,134.67
"1991-01-21",133.7,134.24,133.66,134.24
"1991-01-28",131.46,131.55,131.46,131.46
"1991-02-04",129.05,129.58,129.05,129.05
"1991-02-11",130.92,130.97,130.39,130.97
"1991-02-14",132.53,132.53,132.3,132.53
"1991-02-25",134.37,134.87,134.33,134.4
"1991-03-04",132.09,132.09,131.98,131.99
"1991-03-11",129.3,129.89,129.3,129.31
"1991-03-18",124.7,125.17,124.69,124.71
"1991-03-25",122.12,122.62,122.1,122.12
"1991-04-01",120.69,120.73,119.68,120.73
"1991-04-08",121.11,121.11,121.05,121.09
"1991-04-15",118.73,119.22,118.72,118.77
"1991-04-22",116.63,117.08,116.58,116.63
"1991-04-29",114.86,116.29,114.75,114.75
"1991-05-06",111.65,112.41,111.57,111.61
"1991-05-13",107.88,107.88,107.74,107.84
"1991-05-20",107.76,107.82,106.71,107.82
"1991-05-27",111.05,111.07,109.47,110.66
"1991-06-03",115.9,115.97,114.89,115.97
"1991-06-10",121.65,121.67,120.47,121.67
"1991-06-17",125.63,125.77,123.54,125.77
"1991-06-24",132.1,132.17,131.8,132.17
"1991-07-01",136.64,138.62,136.56,136.85
"1991-07-08",135.26,135.28,134.93,135.28
"1991-07-15",133.9,134.1,131.87,133.14
"1991-07-22",138.07,138.07,136.7,138.07
"1991-07-29",141.22,141.72,140.81,141.52
"1991-08-05",148.06,148.15,146.68,148.15
"1991-08-12",155.34,155.54,154.1,155.54
"1991-08-19",163.21,163.21,161.6,163.21
"1991-08-26",171.51,171.51,169.81,171.51
"1991-09-02",180.08,180.22,178.43,180.22
"1991-09-09",189.1,189.24,187.36,189.24
"1991-09-16",189.55,189.66,187.79,189.66
"1991-09-23",185,185.92,184.71,185
"1991-09-30",180.28,181.95,180.27,180.92
"1991-10-07",185.95,186,185.41,186
"1991-10-14",194.06,194.69,192.32,194.67
"1991-10-21",204.53,204.53,202.51,204.53
"1991-10-28",213.5,213.98,211.86,213.98
"1991-11-04",222.77,222.77,220.79,222.77
"1991-11-11",233.48,233.55,231.22,233.55
"1991-11-18",240.04,240.62,238.25,240.62
"1991-11-25",250.84,250.85,248.53,250.85
"1991-12-02",261.78,262.19,259.67,262.19
"1991-12-09",270.27,270.27,269.35,270.27
"1991-12-16",277.53,277.85,277,277.85
"1991-12-23",285.65,285.65,282.83,285.65
"1991-12-30",291.71,291.71,290.85,291.71
"1992-01-06",297.68,297.68,296.52,297.68
"1992-01-13",302.83,303.06,302,303.06
"1992-01-20",307.38,307.39,307.38,307.39
"1992-01-27",311.6,311.61,309.05,311.61
"1992-02-03",314.18,314.18,313.24,314.18
"1992-02-10",315.55,315.56,314.72,315.56
"1992-02-17",319.77,319.77,319.68,319.77
"1992-02-24",361.11,361.62,359.59,360.5
"1992-03-02",365.15,365.39,364.66,365.39
"1992-03-09",372.26,374.06,371.88,373.53
"1992-03-16",377,377.42,376.38,377.05
"1992-03-23",378.61,379.04,377.45,378.89
"1992-03-30",381.54,381.56,380.76,381.44
"1992-04-06",381.97,382.08,381.33,381.47
"1992-04-13",387.27,392.28,382.03,391.11
"1992-04-20",417.19,420.99,413.64,413.85
"1992-04-27",422.45,424.92,413.47,424.58
