"","hmm_str","shangzheng"
"2008-06-16",0,-0.136821366681984
"2008-06-23",0,-0.0395532514526286
"2008-06-30",0,-0.00881025351214682
"2008-07-07",0,0.0205767333065312
"2008-07-14",0.0307477438762356,0.0307477438762356
"2008-07-21",0,-0.00585075705460947
"2008-07-28",0,0.0145347414919865
"2008-08-04",0,-0.0555526849718053
"2008-08-11",0,-0.0990867113584802
"2008-08-18",0,-0.0608079932957367
"2008-08-25",0,0.0403039825507463
"2008-09-01",0,-0.0365629803967066
"2008-09-08",0,-0.0781504690060341
"2008-09-12",0,-0.0297421877186925
"2008-09-22",0,0.0753677266104718
"2008-09-26",0,0.0256527202078332
"2008-10-06",0,-0.0523328305242876
"2008-10-13",0,-0.0460818681167019
"2008-10-20",0,-0.0480138119282205
"2008-10-27",0,-0.126980106483756
"2008-11-03",0,-0.00207734934865234
"2008-11-10",0,0.0901457753071631
"2008-11-17",0,0.0830435246426287
"2008-11-24",0,-0.0657132022319736
"2008-12-01",0,-0.00128620075274377
"2008-12-08",0,0.103529995460831
"2008-12-15",0,-0.0604561955643137
"2008-12-22",0,0.0119071254397085
"2008-12-29",0,-0.0690626635006238
"2009-01-05",0,0.0163417059357571
"2009-01-12",0,0.0104374920243311
"2009-01-19",0,0.0454232115136686
"2009-01-23",0,0.00200838589196994
"2009-02-02",0,0.0105593119869791
"2009-02-09",0,0.105896564065855
"2009-02-16",0,0.0740231311047281
"2009-02-23",0,-0.0349921946605618
"2009-03-02",0,-0.0920859752448197
"2009-03-09",0,0.0120853137165924
"2009-03-16",0,0.0163020648967551
"2009-03-23",0,0.0799660055078508
"2009-03-30",0,0.0140014104614961
"2009-04-03",0.026182761954844,0.026182761954844
"2009-04-13",0.038813445850449,0.038813445850449
"2009-04-20",0,0.0174086008672476
"2009-04-27",0,-0.0594769810671526
"2009-05-04",0,0.0642567609703368
"2009-05-11",0,0.00775027247051652
"2009-05-18",0,0.0283089446651807
"2009-05-25",-0.0161227090071547,-0.0161227090071547
"2009-06-01",0.042632020566971,0.042632020566971
"2009-06-08",0,0.0172933325493885
"2009-06-15",0.00766163115802243,0.00766163115802243
"2009-06-22",0.0382678209747092,0.0382678209747092
"2009-06-29",0.0272796326347409,0.0272796326347409
"2009-07-06",0.0501998111121194,0.0501998111121194
"2009-07-13",-0.0141166907225403,-0.0141166907225403
"2009-07-20",0.060495494325707,0.060495494325707
"2009-07-27",0.0515133520257613,0.0515133520257613
"2009-08-03",0.00797040064508425,0.00797040064508425
"2009-08-10",0,-0.0614655503539258
"2009-08-17",0,-0.116663999803062
"2009-08-24",0,0.0427780661387918
"2009-08-31",0,-0.108798268207374
"2009-09-07",0,0.0799812576140941
"2009-09-14",0,0.0505428444493807
"2009-09-21",0,-0.019734103358729
"2009-09-28",0,-0.068584197559159
"2009-09-30",0,0.00575715030106516
"2009-10-12",0,0.0413933792180412
"2009-10-19",0.0496773168237472,0.0496773168237472
"2009-10-26",0.0234673021160068,0.0234673021160068
"2009-11-02",-0.010586672755397,-0.010586672755397
"2009-11-09",0.0321583540539223,0.0321583540539223
"2009-11-16",0.0313201641269811,0.0313201641269811
"2009-11-23",0.0194226042350498,0.0194226042350498
"2009-11-30",0,-0.0429393828661797
"2009-12-07",0,0.042750289487685
"2009-12-14",0,-0.00870374260932205
"2009-12-21",0,-0.0544763692512641
"2009-12-28",0,0.0210728889486611
"2010-01-04",0,0.0172417037236812
"2010-01-11",-0.00955989345697594,-0.00955989345697594
"2010-01-18",0,0.00757917671776509
"2010-01-25",0,-0.0440795773995243
"2010-02-01",0,-0.0494601555708518
"2010-02-08",0,-0.00210446868115433
"2010-02-12",0,0.0282641209878816
"2010-02-22",-0.00488050547855789,-0.00488050547855789
"2010-03-01",0.0281148032230139,0.0281148032230139
"2010-03-08",0,-0.0112084823047827
"2010-03-15",0,-0.0249866534784474
