date, jiaotongyunshu , xiuxianfuwu , meiti , gonggongshiye  , nonglinmuyu , huagong , yiyaoshengwu , shangyemaoyi , guofangjungong , jiayongdianqi  , jianzhucailiao  , jianzhuzhuangshi  , fangdichan  , yousejinshu , jixiezhizao , qiche , dianzi , dianqishebei , fangzhifuzhuang , zonghe , jisuanji , qingongzhizao  , tongxin  , caijue , gangtie , yinhang  , feiyinjinrong  , shipinyinliao  
01/04/00,1026.69,1023.37,246.95,1024.38,1027.66,1025.03,1026.71,1037.24,313.72,1033.04,1022.59,1030.69,1032.15,1029.82,276.66,981.88,1043.81,1024.7,1024.9,1029.81,1026.13,1025.14,1078.71,1032.97,1022.21,1043.67,445.32,1024.64
01/05/00,1031.12,1031.92,249.56,1028.22,1028.87,1034.06,1029.57,1049.97,312.95,1022.01,1026.04,1029.37,1034.17,1032.6,278.46,984.07,1047.01,1021.11,1029.68,1047.65,1002.71,1032.21,1060.54,1055.88,1022.25,1030.93,441.82,1029.26
01/06/00,1066.99,1068.37,261.12,1070.19,1065.67,1081.01,1067.96,1087.33,320.52,1080.93,1058.6,1068.99,1069.96,1071.66,289.16,1019.39,1095.48,1055.51,1058.86,1083.61,1051.14,1069.82,1114.07,1122.06,1056.28,1068.45,457.14,1068.67
01/07/00,1109.21,1103.45,268.18,1104.79,1106.19,1114.65,1108.28,1142.12,338.4,1147.08,1092.81,1107.49,1107.52,1116.23,299.87,1051.07,1128.03,1089.32,1101.92,1132.7,1071.55,1107.35,1143.5,1184.13,1102.06,1109.98,473.01,1110.33
01/10/00,1126.38,1128.08,274.29,1126.27,1130.06,1128.31,1129.94,1174.94,342.23,1163.55,1115.89,1123.13,1133.78,1178.55,306.25,1069.38,1144.21,1112.08,1133.9,1164.68,1084.85,1126.33,1160.24,1219.1,1107.3,1138.34,501.68,1128.06
01/11/00,1078.71,1077.84,270.32,1076.1,1104.18,1074.06,1086.76,1134.88,333.81,1095.61,1069.33,1081.36,1083.97,1115.6,293.65,1031.93,1102.85,1066.59,1078.49,1115.26,1031.73,1094.73,1089.27,1198.66,1057.53,1079.83,470.36,1100.37
01/12/00,1050.72,1042.32,265.84,1045.81,1080.4,1042.69,1053.34,1108.82,325.47,1064.93,1057.03,1057.06,1058.68,1083.88,286.9,1026.43,1059.7,1041.71,1047.47,1088.57,999.9,1059.84,1049.22,1160.74,1032.39,1036.19,454.16,1077.06
01/13/00,1041.98,1035.9,264.07,1039.79,1066.57,1034.76,1048.31,1083.83,319.4,1051.97,1048.48,1038.77,1051.14,1074.29,286.54,1011.52,1052.12,1034.3,1038.99,1075.84,997.25,1045.29,1042.94,1157,1045.07,1029.35,447.66,1065.91
01/14/00,1030.26,1030.25,260.65,1033.03,1062.16,1022.44,1036.22,1081.99,309.99,1035.04,1038.07,1027.91,1038.64,1060.16,283.15,1010.07,1037.85,1033.43,1026.18,1063.67,985.19,1042.81,1021.29,1138.67,1027.91,1009.79,442.5,1050.7
01/17/00,1050.78,1049.38,269.14,1052.99,1085.92,1038.64,1057.05,1116.49,311.36,1056.72,1062.34,1043.84,1057.72,1088.92,287.97,1017.8,1056.25,1036.6,1042.91,1087.63,997.09,1055.99,1036.29,1169.02,1039.32,1020.1,449.58,1067.68
01/18/00,1048.31,1045.66,271.06,1063.16,1076.92,1041.23,1055.75,1103,313.25,1047.28,1058.89,1033.7,1053.7,1083.01,289,1016.15,1053.13,1042.9,1043.68,1081.08,1001.06,1059.99,1031.5,1171.78,1040.98,1001.83,448.93,1060.86
01/19/00,1057.63,1052.51,279.44,1068.01,1110.19,1051.28,1071.83,1113.65,321.09,1059.81,1069.85,1041.33,1062.14,1089.33,291.57,1028.74,1068.37,1052.9,1057.25,1099.02,1031.7,1066.55,1057.52,1193.57,1067.94,1005.44,453.33,1080.1
01/20/00,1069.98,1077.26,290.14,1079.78,1149.22,1064.11,1093.7,1144.86,324.47,1076.99,1086.29,1052.32,1082.54,1119.08,295.54,1044.56,1093.45,1072.43,1070.17,1119.25,1050.31,1088.12,1081.9,1226.84,1068.96,1010.53,460.29,1101.26
01/21/00,1071.66,1074.77,297.87,1082.78,1148.63,1056.18,1088.86,1150.31,323.8,1082.81,1068.09,1060.47,1080.92,1111.1,299.36,1033.1,1109.01,1075.3,1066.12,1129.79,1071.36,1081.67,1092.6,1236.71,1055.93,1013.78,461.43,1095.67
01/24/00,1079.28,1093.15,307.65,1101.43,1172.99,1054.27,1113.7,1181.01,326.27,1095.5,1072.36,1065.55,1092.06,1126.48,302.94,1036.27,1138.13,1097.05,1095.26,1144.44,1103.83,1085.43,1115.98,1258.56,1069.07,995.26,456.89,1114.25
01/25/00,1077.57,1097.23,311.24,1094.52,1196.05,1060.84,1109.4,1174.23,325.06,1099.64,1071.72,1076.02,1093.5,1131.02,300.22,1049.32,1143.11,1088.89,1093.56,1137.18,1078.34,1083.77,1079.16,1297.2,1079.05,1009.25,457.98,1106.62
01/26/00,1083.72,1099.85,318.78,1097.6,1200.14,1061.37,1113.5,1177.57,322.55,1096.63,1079.44,1066.96,1102.74,1134.4,298.33,1047.13,1139.56,1083.43,1097.7,1140.3,1089.08,1088.15,1067.78,1281.27,1090.39,1003.73,468.44,1119.97
01/27/00,1087.26,1121.62,330.8,1115.67,1210.27,1066.38,1134.28,1203.78,323.62,1109.53,1081.54,1091.41,1119.8,1149.17,301.34,1044.44,1199.35,1115.32,1098.8,1184.59,1191.09,1104.65,1139.84,1311.1,1077.36,1015.63,468.7,1122.66
01/28/00,1100.44,1166.6,347.7,1135.44,1216.79,1082.05,1150.49,1247.55,331.51,1130.98,1091.32,1106.61,1146.88,1168.21,304.53,1057.9,1234.92,1127.27,1119.34,1220.55,1226.68,1120.25,1161.8,1330.06,1083.06,1045.95,472.09,1145.8
02/14/00,1201.02,1278,375,1241.66,1328.78,1177.35,1252.47,1366.71,361.11,1238.34,1186.61,1207.05,1250.26,1274.65,332.85,1148.04,1352.56,1229.65,1216.7,1334.41,1349.41,1225.67,1278.01,1440.91,1175.3,1145.24,515.44,1244.34
02/15/00,1208.12,1298.58,378.16,1268.06,1356.6,1158.1,1239.96,1409.16,345.05,1222.6,1191.34,1245.02,1248.13,1273.18,333.5,1111.95,1385.69,1221.77,1196.63,1378.31,1417.08,1220.77,1344.73,1442.54,1131.53,1089.05,504.96,1219.03
02/16/00,1244.17,1325.12,393.21,1293.63,1404.39,1173.22,1237.01,1482.1,332.91,1210.59,1214.78,1300.35,1281.06,1282.95,337.43,1109.37,1427.97,1226.99,1200.84,1432.5,1494.31,1233.59,1441.33,1450.03,1128.89,1059.44,508.62,1222.73
02/17/00,1253.45,1257.92,380.16,1238.69,1369.7,1144.86,1177.34,1403.74,327.4,1161.76,1205.48,1326.56,1250.23,1209.91,331.79,1100.95,1325.86,1166.67,1183.78,1365,1355.61,1218.85,1326.81,1400.85,1139.81,1054.12,492.38,1172.03
02/18/00,1293.68,1293.14,397.23,1264.18,1413.28,1159.92,1202.81,1447.85,321.47,1171.32,1237.89,1378.41,1263.63,1218.87,338.48,1087.99,1367.6,1167.76,1184.64,1392.51,1414.51,1248.52,1363.93,1406.08,1107.09,1036.4,494.17,1206.57
02/21/00,1316.53,1305.12,392.84,1281.6,1441.89,1182.37,1213.84,1421.54,337.08,1175.7,1284.2,1438.82,1288.6,1224.73,346.23,1106.08,1341.93,1164.67,1217.88,1400.03,1316.29,1282.21,1299.33,1371.86,1123.19,1070.85,498.34,1210.13
02/22/00,1256.92,1273.18,403.2,1243.04,1419.15,1153.48,1202.8,1368.14,324.43,1141.3,1221.82,1384.31,1241.08,1181.78,333.41,1085.2,1317.96,1122.49,1166.39,1333.3,1251.16,1218.25,1258.21,1342.79,1097.77,1031.38,480.91,1186.69
02/23/00,1208.42,1242.61,396.89,1219.2,1399.22,1135.07,1183.53,1316.6,320.32,1109.04,1205.45,1339.35,1212.82,1164.12,322.31,1063.45,1261.55,1090.18,1172.62,1276.25,1194.43,1176.4,1206.17,1327.31,1081.86,1023.65,469.07,1155.03
02/24/00,1245.34,1296.58,412.58,1254.33,1424.87,1156.27,1232.86,1359.91,329.33,1128.22,1230.23,1412.29,1233.37,1187.91,330.71,1085.98,1304.43,1117.45,1195.08,1326.39,1267.02,1207.39,1253.62,1362.89,1093.77,1029.73,472.05,1182.26
02/25/00,1226.1,1303.98,424.15,1245.04,1425.97,1150.11,1245.31,1348.75,326.34,1117.33,1223.83,1466.66,1225.59,1169.29,329.58,1078.29,1309.33,1125.04,1184.65,1317.03,1255.38,1207.02,1228.35,1387.9,1106.63,1023.28,470.02,1182.01
02/28/00,1274.72,1357.05,449.59,1299.4,1493.82,1200.21,1307.64,1423.51,340.64,1153.57,1257.02,1564.98,1279.61,1209.1,342.18,1098.95,1400.32,1174.14,1210.94,1378.14,1364.07,1247.76,1329.36,1418.75,1134.32,1047.63,489.23,1232.92
02/29/00,1279.83,1360.6,452.28,1296.69,1493.42,1203.65,1290.61,1404.43,337.96,1189.96,1257.38,1595.51,1305.27,1213.31,345.21,1124.25,1409.85,1178.23,1224.02,1374.84,1316.86,1241.34,1309.26,1391.97,1141.95,1039.89,478.46,1220.04
03/01/00,1276.04,1350.83,450.91,1307.57,1502.71,1202.37,1273.97,1390.92,332.93,1175.76,1271.9,1525.92,1308.49,1229.49,342.01,1114.22,1372.28,1184.36,1223.67,1370.9,1283.76,1237.11,1270.71,1421.77,1146.87,1067.38,493.97,1211
03/02/00,1282.66,1362.68,448.16,1305.92,1507.87,1208.69,1286.88,1410.99,344.99,1172.76,1277.67,1544.29,1309.6,1229.18,341.36,1117.95,1405.72,1200.59,1237.36,1376.61,1314.45,1258.44,1276.61,1477.74,1142.28,1044.89,491.82,1213.24
03/03/00,1302.37,1388.71,442.57,1324.74,1498.59,1226.32,1299.51,1429.85,356,1199.11,1304.95,1560.43,1320.73,1249.45,345.71,1135.97,1430.19,1234.02,1264.7,1379.69,1324.24,1280.59,1277.46,1525.73,1152.16,1061.27,515.3,1235.28
03/06/00,1251.79,1319.53,431.21,1274.91,1449.86,1184.4,1241.84,1358.46,343.66,1173.08,1254.6,1460.3,1255.9,1214.54,331.27,1118.1,1344.13,1169.33,1240.87,1308.49,1236.46,1236.7,1227.64,1491.38,1140.69,1042.91,499.7,1191.56
03/07/00,1270.03,1322.34,435.57,1286.27,1449.21,1194.54,1263.4,1366.91,352.36,1227.63,1279.24,1470.65,1255.62,1225.84,334.83,1150.71,1337.72,1188.57,1232.21,1317.09,1244.51,1255.77,1225.88,1488.39,1162.22,1075.35,525.2,1200.46
03/08/00,1294.08,1351.43,459.8,1325.98,1469.58,1209.72,1284.37,1407.86,355.03,1241.4,1289.74,1515,1282.95,1242.33,338.26,1149.84,1372.54,1207.03,1258.6,1350.28,1276.7,1279.85,1280.17,1536.4,1151.34,1062.18,526.81,1208.22
03/09/00,1292.85,1384.37,458.19,1347.85,1474.38,1205.07,1287.81,1401.15,350.93,1272.97,1290.11,1488.31,1274.54,1232.44,339.87,1138.57,1360.11,1202.77,1252.89,1346.83,1275.44,1261.22,1285.99,1515.23,1146.85,1122.78,548.65,1208.07
03/10/00,1271.98,1352.63,465.23,1311.49,1448.85,1186.99,1262.49,1378.48,342.25,1235.44,1273.8,1487.92,1258.28,1211.32,333.64,1110.57,1352.4,1179.62,1228.78,1327.5,1278.76,1244.77,1252.86,1499.94,1137.11,1073.21,528.32,1197.39
03/13/00,1290.64,1382.92,476.83,1316,1478.78,1210.03,1282.28,1387.05,345.86,1255.81,1302.3,1499.86,1288.19,1231.01,339.88,1128.76,1364.95,1196.72,1246.55,1344.34,1315.02,1268.87,1278.24,1529.14,1161.63,1075.32,546.62,1211.25
03/14/00,1254.83,1350.6,460.89,1286.24,1448.17,1188.59,1249.1,1346.68,340.76,1213.12,1287.86,1476.72,1263.84,1209.67,332.61,1121.18,1328.52,1197.49,1240.25,1319.62,1274.5,1248.89,1261.3,1479.29,1143.51,1053.52,522.5,1187
03/15/00,1260.7,1353.87,464.06,1272.68,1450.1,1199.45,1260.48,1341.47,340.57,1195,1308.95,1462.17,1277.46,1220.61,336.34,1127.67,1314.68,1204.12,1260.81,1310.86,1270.56,1251.18,1287.95,1474.96,1161.73,1043.97,513.41,1192.61
03/16/00,1200.73,1288.53,437.63,1205.59,1402.56,1144.04,1203.36,1273.73,320.95,1134.16,1247,1382.44,1213.87,1164.72,322.12,1081.35,1253.3,1133.48,1200.79,1239.83,1204.62,1199.98,1211.13,1425.81,1122.49,1015.5,488.22,1141.24
03/17/00,1242.86,1347.56,455.69,1249.58,1444.13,1174.56,1240.69,1323.32,328.76,1173.04,1292.8,1448.47,1258.05,1195.14,330.58,1103.33,1306.69,1174.43,1251.48,1279.62,1246.23,1233.14,1255.95,1467.89,1146.79,1029.92,504.62,1175.83
03/20/00,1263.95,1418.52,464.7,1277.52,1476.28,1209.56,1280.26,1355.5,349.57,1191.06,1353.16,1471.15,1293.07,1245.7,343.68,1132.7,1347.37,1213.08,1303.94,1314.06,1280.59,1265.05,1266.37,1476.57,1184.34,1034.04,510.15,1208.13
03/21/00,1270.07,1418.8,448.56,1296.04,1484.09,1218.91,1297.75,1362.49,347.97,1201.22,1369.11,1470.48,1305.41,1255.98,345.84,1155.83,1364.28,1219.78,1316.85,1317.08,1286.3,1276.95,1261.97,1495.17,1187.56,1035.26,508,1213.55
03/22/00,1285.84,1427.29,442.42,1305.74,1490.19,1226.6,1296.96,1378.27,347.82,1215.83,1377.89,1500.95,1310.16,1259.59,347.1,1160.52,1382.9,1225.47,1317.8,1331.85,1320.8,1282.36,1278.2,1502.7,1193.54,1048.27,516.49,1214.96
03/23/00,1296.25,1475.58,448.55,1335.16,1510.84,1252.56,1318.16,1401.85,354.48,1224.65,1426.05,1512.16,1332.27,1286.76,351.54,1190.75,1409.29,1246.87,1352.17,1357.77,1332.44,1306.55,1284.74,1528.68,1200.47,1055.53,544.55,1233.22
03/24/00,1273.26,1482.07,443.76,1324.06,1493.61,1236.63,1303.73,1396.73,344.12,1218.91,1406.85,1487.68,1326.93,1281.59,350.25,1172.12,1394,1216.98,1349.54,1349.19,1305.5,1279.49,1304.02,1527.78,1176.11,1051.4,540.94,1232.71
03/27/00,1298.7,1533.72,433.55,1370.77,1523.32,1281.57,1342.66,1427.25,351.56,1243.49,1450.6,1525.9,1378.08,1318.67,364.91,1207.26,1429.67,1245.58,1395.61,1385.56,1343.99,1326.62,1361.71,1566.63,1212.78,1067.75,561.98,1276.49
03/28/00,1325.58,1517.42,431.88,1397.14,1544.13,1295.78,1354.17,1442.49,357.41,1248.33,1475.93,1539.8,1377.17,1335.49,367.02,1226.94,1438.11,1244.87,1402.7,1395.23,1357.43,1338.69,1367.23,1566.67,1230.26,1058.39,553.75,1278.24
03/29/00,1318.6,1501.75,429.09,1382.96,1537.14,1290.86,1346.99,1446.21,353.98,1247.06,1467.08,1535.07,1366.09,1319.11,366.05,1226.8,1443.36,1254.48,1403.3,1389.8,1363.62,1331.47,1348.15,1554.09,1221.2,1046.41,547.35,1274.47
03/30/00,1338.34,1523.71,428.36,1408.15,1540.48,1307.8,1366.59,1462.81,356.79,1260.91,1498.37,1540.21,1384.85,1343.96,369.24,1239.3,1465.51,1283.9,1438.47,1408.11,1351.84,1337.97,1363.91,1559.06,1232.22,1052.21,562.14,1293.95
03/31/00,1324.47,1505.4,424.89,1389.67,1537.94,1302.26,1357.69,1440.37,355.52,1249.55,1501.44,1527.79,1375.7,1333.83,367.05,1233.33,1448.55,1283.14,1416.52,1390.26,1330.08,1335.3,1359.67,1577.92,1238.12,1042.47,574.39,1277.41
04/03/00,1314.35,1495.83,429,1384.53,1522.13,1299.99,1357.59,1443.67,357.25,1240.88,1463.8,1522.22,1379.91,1340,365.05,1223.72,1458.91,1296.32,1399.04,1373.62,1327.68,1332.56,1333.52,1576.38,1235.51,1039.37,600.61,1274.27
04/04/00,1287.6,1476.43,421.86,1357.3,1507.87,1255.22,1336.62,1410.69,350.28,1211.44,1425.64,1487.08,1356.99,1305,358.04,1187.15,1411.78,1268.95,1352.66,1347.81,1307.59,1305.96,1290.92,1506.66,1208.87,1028.23,606.3,1257.82
04/05/00,1303.14,1497.45,422.65,1370.63,1518.92,1267.19,1351.59,1425.85,348.71,1218.56,1438.18,1484.95,1375.83,1322.83,359.31,1196.07,1410.82,1279.86,1361.61,1353.47,1318.36,1311.82,1301.76,1479.74,1218.21,1040.73,609.24,1263.01
04/06/00,1331.21,1528.97,420.96,1399.21,1541.46,1295.73,1384.33,1460.46,355.26,1241.43,1476.52,1521.61,1429.48,1351.91,366.52,1223.16,1440.27,1296.99,1384.22,1390.61,1334.43,1339.52,1317.48,1500.12,1246.97,1047.85,614.87,1278.17
04/07/00,1350.93,1513.44,412.52,1416.5,1569.14,1311.17,1392.92,1479.99,363.92,1246.55,1495.07,1529.63,1431.03,1350.27,369.25,1237.65,1437.88,1305.61,1392.32,1388.53,1337.4,1351.7,1320.51,1534.58,1272.05,1069.31,621.96,1287.71
